"brand","official_domain","keywords"
"KB국민은행","kbstar.com","kb|kbstar|국민은행|kb국민"
"신한은행","shinhan.com","shinhan|신한|신한은행"
"우리은행","wooribank.com","woori|우리은행|우리"
"하나은행","kebhana.com","hana|하나은행|하나"
"NH농협은행","nhbank.com","nh|nonghyup|농협|농협은행"
"IBK기업은행","ibk.co.kr","ibk|기업은행|ibk기업"
"카카오뱅크","kakaobank.com","kakaobank|카카오뱅크|kakao bank"
"케이뱅크","kbanknow.com","kbank|케이뱅크|k bank"
"토스뱅크","tossbank.com","toss|토스|토스뱅크"
"우체국예금보험","epostbank.go.kr","epost|우체국|우체국예금"
"서민금융진흥원","kinfa.or.kr","kinfa|서민금융진흥원|햇살론|서민금융|sunshine"
"소상공인시장진흥공단","semas.or.kr","semas|소상공인|정책자금|시장진흥공단|policy-loan"
"정부24","gov.kr","정부24|gov24|민원24"
"정책자금","","정책자금|지원금|정부지원|소상공인대출|저금리전환"
"버팀목대출","","버팀목|전세대출|주택도시기금"
